,work_year,salary_in_usd,clusters,cluster
2884,2023,140000,1,pink
2885,2023,139152,1,pink
2886,2023,82452,3,dark purple
2887,2023,204500,0,light pink
2888,2023,142200,1,pink
2889,2023,85000,3,dark purple
2890,2023,65000,3,dark purple
2891,2023,139000,1,pink
2892,2023,85700,3,dark purple
2893,2023,248100,2,purple
2894,2023,145900,1,pink
2895,2023,200000,0,light pink
2896,2023,145000,1,pink
2897,2023,230000,0,light pink
2898,2023,184000,0,light pink
2899,2023,269500,2,purple
2900,2023,166600,0,light pink
2901,2023,295500,2,purple
2902,2023,165200,0,light pink
2903,2023,226600,0,light pink
2904,2023,140100,1,pink
2905,2023,235000,0,light pink
2906,2023,135000,1,pink
2907,2023,110000,1,pink
2908,2023,75000,3,dark purple
2909,2023,180000,0,light pink
2910,2023,144000,1,pink
2911,2023,49216,3,dark purple
2912,2023,43064,3,dark purple
2913,2023,65000,3,dark purple
2914,2023,55000,3,dark purple
2915,2023,160667,1,pink
2916,2023,130000,1,pink
2917,2023,27568,3,dark purple
2918,2023,169000,0,light pink
2919,2023,110600,1,pink
2920,2023,225500,0,light pink
2921,2023,139400,1,pink
2922,2023,304200,2,purple
2923,2023,173800,0,light pink
2924,2023,191765,0,light pink
2925,2023,134326,1,pink
2926,2023,173000,0,light pink
2927,2023,160000,1,pink
2928,2023,258384,2,purple
2929,2023,153100,1,pink
2930,2023,135000,1,pink
2931,2023,70000,3,dark purple
2932,2023,168000,0,light pink
2933,2023,130000,1,pink
2934,2023,146200,1,pink
2935,2023,116960,1,pink
2936,2023,226700,0,light pink
2937,2023,133300,1,pink
2938,2023,370000,2,purple
2939,2023,245000,2,purple
2940,2023,208450,0,light pink
2941,2023,151600,1,pink
2942,2023,111600,1,pink
2943,2023,72000,3,dark purple
2944,2023,359170,2,purple
2945,2023,295490,2,purple
2946,2023,90000,3,dark purple
2947,2023,90000,3,dark purple
2948,2023,84000,3,dark purple
2949,2023,110000,1,pink
2950,2023,90000,3,dark purple
2951,2023,110000,1,pink
2952,2023,70000,3,dark purple
2953,2023,48585,3,dark purple
2954,2023,38868,3,dark purple
2955,2023,90000,3,dark purple
2956,2023,75000,3,dark purple
2957,2023,253000,2,purple
2958,2023,162000,1,pink
2959,2023,115000,1,pink
2960,2023,85000,3,dark purple
2961,2023,164000,0,light pink
2962,2023,130000,1,pink
2963,2023,359170,2,purple
2964,2023,295490,2,purple
2965,2023,145900,1,pink
2966,2023,128100,1,pink
2967,2023,127000,1,pink
2968,2023,95000,3,dark purple
2969,2023,94600,3,dark purple
2970,2023,86000,3,dark purple
2971,2023,72000,3,dark purple
2972,2023,60000,3,dark purple
2973,2023,136000,1,pink
2974,2023,104000,1,pink
2975,2023,323300,2,purple
2976,2023,184700,0,light pink
2977,2023,150000,1,pink
2978,2023,101570,3,dark purple
2979,2023,247500,2,purple
2980,2023,172200,0,light pink
2981,2023,198800,0,light pink
2982,2023,122600,1,pink
2983,2023,173650,0,light pink
2984,2023,113900,1,pink
2985,2023,185000,0,light pink
2986,2023,126000,1,pink
2987,2023,139500,1,pink
2988,2023,110000,1,pink
2989,2023,160000,1,pink
2990,2023,130000,1,pink
2991,2023,280000,2,purple
2992,2023,200000,0,light pink
2993,2023,123040,1,pink
2994,2023,73824,3,dark purple
2995,2023,248100,2,purple
